feature_names,importance
stock_id,1848.347227665782
volume_imbalance_mean_300,2238.932268255949
wap_mean,2802.8421047717334
bid_spread_mean_300,3255.672347161174
total_volume_mean_300,4361.042392194271
wap_mean_300,5265.099755376577
bid_spread_mean,6506.6047073453665
ask_spread_mean_300,7284.26741143465
total_volume_mean,7842.365423732996
wap_balance_mean_300,10561.142232304812
wap_balance_mean,12141.658215948939
price_spread_mean_300,15037.43010340631
price_spread_mean,15833.906952375173
volume_imbalance_mean,18928.087957391144
ask_spread_mean,24852.977772951126
stock_id_target_enc,32437.394404375555
log_return2_realized_volatility_300,104186.28771839738
log_return2_realized_volatility,383762.51638682187
log_return_realized_volatility_300,893149.5640978187
log_return_realized_volatility,2796911.243637231
